Timestamp,Emotion,Confidence
00-00-13.349,fear,"{'angry': 19.27681541442871, 'disgust': 0.19451606273651123, 'fear': 53.03653335571289, 'happy': 4.030269622802734, 'sad': 20.32245635986328, 'surprise': 0.5452061891555786, 'neutral': 2.5942013263702393}"
00-00-13.683,fear,"{'angry': 16.399202346801758, 'disgust': 0.163361594080925, 'fear': 44.44028854370117, 'happy': 6.632872581481934, 'sad': 28.63389778137207, 'surprise': 0.18825960159301758, 'neutral': 3.542116165161133}"
00-00-14.017,angry,"{'angry': 47.079559326171875, 'disgust': 0.07294511795043945, 'fear': 32.211936950683594, 'happy': 2.2674334049224854, 'sad': 16.62533187866211, 'surprise': 0.037720076739788055, 'neutral': 1.705077052116394}"
00-00-14.351,angry,"{'angry': 46.364776611328125, 'disgust': 0.10234632343053818, 'fear': 34.67356872558594, 'happy': 2.515930652618408, 'sad': 13.853968620300293, 'surprise': 0.05820097774267197, 'neutral': 2.431203842163086}"
00-00-14.684,angry,"{'angry': 89.81259155273438, 'disgust': 0.06338512152433395, 'fear': 6.147740840911865, 'happy': 0.5384057760238647, 'sad': 2.464860677719116, 'surprise': 0.04430314898490906, 'neutral': 0.9287092685699463}"
00-00-15.018,angry,"{'angry': 92.71143341064453, 'disgust': 0.06487574428319931, 'fear': 6.064572811126709, 'happy': 0.29270508885383606, 'sad': 0.7309715151786804, 'surprise': 0.027099350467324257, 'neutral': 0.10833457112312317}"
00-00-15.352,neutral,"{'angry': 0.025212129577994347, 'disgust': 4.384926644007692e-09, 'fear': 0.8973825573921204, 'happy': 0.04920090362429619, 'sad': 16.42824935913086, 'surprise': 4.6097917220322415e-05, 'neutral': 82.59990692138672}"
00-00-15.685,neutral,"{'angry': 30.835830688476562, 'disgust': 1.2052578313159756e-07, 'fear': 1.8291184902191162, 'happy': 0.017919568344950676, 'sad': 0.16456182301044464, 'surprise': 0.4022957682609558, 'neutral': 66.7502670288086}"
00-00-16.019,neutral,"{'angry': 0.8256221413612366, 'disgust': 1.9280528285037235e-09, 'fear': 4.277840614318848, 'happy': 0.05760439485311508, 'sad': 0.2329176813364029, 'surprise': 3.636998414993286, 'neutral': 90.9690170288086}"
00-00-16.353,neutral,"{'angry': 0.017274852842092514, 'disgust': 1.581300507202954e-10, 'fear': 0.006147995125502348, 'happy': 0.15371902287006378, 'sad': 0.3090032637119293, 'surprise': 0.00039228261448442936, 'neutral': 99.51346588134766}"
00-00-16.687,neutral,"{'angry': 2.0534064769744873, 'disgust': 5.6759983380061385e-09, 'fear': 12.858877182006836, 'happy': 0.0050018965266644955, 'sad': 0.648814857006073, 'surprise': 3.267385959625244, 'neutral': 81.16651153564453}"
00-00-17.020,sad,"{'angry': 0.11989370733499527, 'disgust': 6.519600447063567e-06, 'fear': 0.09509224444627762, 'happy': 0.35076704621315, 'sad': 87.87264251708984, 'surprise': 0.0002603093453217298, 'neutral': 11.561339378356934}"
00-00-17.354,sad,"{'angry': 0.10327202081680298, 'disgust': 2.8869365564787586e-07, 'fear': 0.45331525802612305, 'happy': 0.05275460705161095, 'sad': 64.99909973144531, 'surprise': 0.001480268663726747, 'neutral': 34.390071868896484}"
00-00-17.688,sad,"{'angry': 0.38249775767326355, 'disgust': 3.223255043849349e-05, 'fear': 0.3029004633426666, 'happy': 1.2305972576141357, 'sad': 73.52312469482422, 'surprise': 0.0011625360930338502, 'neutral': 24.559682846069336}"
00-00-18.022,angry,"{'angry': 99.46155548095703, 'disgust': 0.015225345268845558, 'fear': 0.4283825755119324, 'happy': 0.037540171295404434, 'sad': 0.05494213476777077, 'surprise': 0.0015125161735340953, 'neutral': 0.0008429071749560535}"
00-00-18.355,angry,"{'angry': 76.73822784423828, 'disgust': 0.2062913030385971, 'fear': 19.191696166992188, 'happy': 2.455946207046509, 'sad': 0.4987730085849762, 'surprise': 0.8411238789558411, 'neutral': 0.06794361025094986}"
00-00-18.689,fear,"{'angry': 26.496129989624023, 'disgust': 0.38971957564353943, 'fear': 67.36280822753906, 'happy': 4.125572681427002, 'sad': 0.5862507820129395, 'surprise': 0.914207398891449, 'neutral': 0.12530574202537537}"
00-00-19.023,angry,"{'angry': 58.11748504638672, 'disgust': 0.49546945095062256, 'fear': 38.94312286376953, 'happy': 1.377631425857544, 'sad': 0.47381526231765747, 'surprise': 0.5412241220474243, 'neutral': 0.05125155672430992}"
00-00-19.357,angry,"{'angry': 61.09740447998047, 'disgust': 0.43869510293006897, 'fear': 36.06285858154297, 'happy': 1.6655101776123047, 'sad': 0.5296840667724609, 'surprise': 0.1696702539920807, 'neutral': 0.03618191182613373}"
00-00-19.690,angry,"{'angry': 72.00481414794922, 'disgust': 0.45211270451545715, 'fear': 26.206581115722656, 'happy': 0.5749542117118835, 'sad': 0.34292474389076233, 'surprise': 0.3988111615180969, 'neutral': 0.019810831174254417}"
00-00-20.024,angry,"{'angry': 92.66981506347656, 'disgust': 0.16219858825206757, 'fear': 5.4568963050842285, 'happy': 1.2267848253250122, 'sad': 0.16893890500068665, 'surprise': 0.3009815216064453, 'neutral': 0.014391113072633743}"
00-00-20.358,angry,"{'angry': 99.38432312011719, 'disgust': 0.0030730622820556164, 'fear': 0.4291580617427826, 'happy': 0.020207682624459267, 'sad': 0.15897545218467712, 'surprise': 0.00020934038911946118, 'neutral': 0.004056953359395266}"
00-00-20.691,angry,"{'angry': 99.99992370605469, 'disgust': 1.3470758284566407e-18, 'fear': 1.6092799342004582e-05, 'happy': 5.274919021758251e-05, 'sad': 8.755912972446822e-08, 'surprise': 2.9861505365267627e-22, 'neutral': 1.0334317587809105e-15}"
00-00-21.025,angry,"{'angry': 99.36476135253906, 'disgust': 0.02106573060154915, 'fear': 0.4260324537754059, 'happy': 0.07437184453010559, 'sad': 0.07070380449295044, 'surprise': 0.026265449821949005, 'neutral': 0.016800399869680405}"
00-00-21.359,happy,"{'angry': 5.141725540161133, 'disgust': 1.100375324712688e-12, 'fear': 2.070441041723825e-05, 'happy': 94.85823059082031, 'sad': 2.1841829948243685e-05, 'surprise': 4.247566992685199e-15, 'neutral': 4.669175202726139e-13}"
00-00-21.693,angry,"{'angry': 99.91975402832031, 'disgust': 1.3011505870963447e-05, 'fear': 0.0019678028766065836, 'happy': 0.0569525882601738, 'sad': 0.021268043667078018, 'surprise': 1.1877415717620465e-11, 'neutral': 4.870293560088612e-05}"
